Name,Type,Forward_MACs,FPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/model.13/Constant,Constant,0,0.00%,0,0.00%,0,0.00%,0,4
/model.13/Resize,Resize,0,0.00%,3276800,1.25%,0,0.00%,1x128x40x40,1x128x80x80
/model.14/Concat,Concat,0,0.00%,4915200,1.88%,0,0.00%,1x128x80x80,1x192x80x80
/model.15/cv1/conv/Conv,Conv,79052800,1.62%,1687808,0.64%,12352,0.39%,1x192x80x80,1x64x80x80
/model.15/cv1/act/Sigmoid,Sigmoid,13107200,0.27%,1638400,0.63%,0,0.00%,1x64x80x80,1x64x80x80
/model.15/cv1/act/Mul,Mul,409600,0.01%,1638400,0.63%,0,0.00%,1x64x80x80,1x64x80x80
/model.15/Split,Split,0,0.00%,1638400,0.63%,0,0.00%,1x64x80x80,1x32x80x80
/model.15/m.0/cv1/conv/Conv,Conv,59187200,1.21%,856192,0.33%,9248,0.29%,1x32x80x80,1x32x80x80
/model.15/m.0/cv1/act/Sigmoid,Sigmoid,6553600,0.13%,819200,0.31%,0,0.00%,1x32x80x80,1x32x80x80
/model.15/m.0/cv1/act/Mul,Mul,204800,0.00%,819200,0.31%,0,0.00%,1x32x80x80,1x32x80x80
/model.15/m.0/cv2/conv/Conv,Conv,59187200,1.21%,856192,0.33%,9248,0.29%,1x32x80x80,1x32x80x80
/model.15/m.0/cv2/act/Sigmoid,Sigmoid,6553600,0.13%,819200,0.31%,0,0.00%,1x32x80x80,1x32x80x80
/model.15/m.0/cv2/act/Mul,Mul,204800,0.00%,819200,0.31%,0,0.00%,1x32x80x80,1x32x80x80
/model.15/Concat,Concat,0,0.00%,2457600,0.94%,0,0.00%,1x32x80x80,1x96x80x80
/model.15/cv2/conv/Conv,Conv,39731200,0.81%,1663232,0.63%,6208,0.20%,1x96x80x80,1x64x80x80
/model.15/cv2/act/Sigmoid,Sigmoid,13107200,0.27%,1638400,0.63%,0,0.00%,1x64x80x80,1x64x80x80
/model.15/cv2/act/Mul,Mul,409600,0.01%,1638400,0.63%,0,0.00%,1x64x80x80,1x64x80x80
/model.16/conv/Conv,Conv,59084800,1.21%,557312,0.21%,36928,1.17%,1x64x80x80,1x64x40x40
/model.16/act/Sigmoid,Sigmoid,3276800,0.07%,409600,0.16%,0,0.00%,1x64x40x40,1x64x40x40
